Date,Open,High,Low,Close,Adj Close,Volume
2023-06-01,18579.40,19201.70,18464.55,19189.05,19189.05,5144400
2023-07-01,19246.50,19991.85,19234.40,19753.80,19753.80,5802500
2023-08-01,19784.00,19795.60,19223.65,19253.80,19253.80,6027500
2023-09-01,19258.15,20222.45,19255.70,19638.30,19638.30,5666500
2023-10-01,19622.40,19849.75,18837.85,19079.60,19079.60,4248400
2023-11-01,19064.05,20158.70,18973.70,20133.15,20133.15,4386100
2023-12-01,20194.10,21801.45,20183.70,21731.40,21731.40,6121400
2024-01-01,21727.75,22124.15,21137.20,21725.70,21725.70,6824400
2024-02-01,21780.65,22297.50,21530.20,21982.80,21982.80,6728200
2024-03-01,22048.30,22526.60,21710.20,22326.90,22326.90,6700100
2024-04-01,22455.00,22783.35,21777.65,22604.85,22604.85,6034000
2024-05-01,22567.85,23110.80,21821.05,22530.70,22530.70,6691400
2024-06-01,23337.90,24174.00,21281.45,24010.60,24010.60,7751100
2024-07-01,23992.95,24999.75,23992.70,24951.15,24951.15,6250600
2024-08-01,25030.95,25268.35,23893.70,25235.90,25235.90,6327000
2024-09-01,25333.60,26277.35,24753.15,25810.85,25810.85,6162500
2024-10-01,25788.45,25907.60,24073.90,24205.35,24205.35,6328000
2024-11-01,24302.75,24537.60,23263.15,24131.10,24131.10,5887700
2024-12-01,24140.85,24857.75,23460.45,23644.80,23644.80,5450800
2025-01-01,23637.65,24226.70,22786.90,23508.40,23508.40,6458100
2025-02-01,23528.60,23807.30,22104.85,22124.70,22124.70,5645300
2025-03-01,22194.55,23869.60,21964.60,23519.35,23519.35,6239300
2025-04-01,23341.10,24457.65,21743.65,24334.20,24334.20,7659800
2025-05-01,24311.90,25116.25,23935.75,24750.70,24750.70,8551600
2025-06-01,24669.70,25669.35,24473.00,25517.05,25517.05,7058300
2025-07-01,25551.35,25608.10,24598.60,24768.35,24768.35,6276800
2025-08-01,24734.90,25153.65,24337.50,24426.85,24426.85,5868000
2025-09-01,24432.70,25448.95,24432.70,24611.10,24611.10,5976400
2025-10-01,24620.55,26104.20,24605.95,25722.10,25722.10,6241500
2025-11-01,25696.85,26310.45,25318.45,26202.95,26202.95,5495100
2025-12-01,26325.80,26325.80,25693.25,26129.60,26129.60,5369800
2026-01-01,26173.30,26373.20,24919.80,25320.65,25320.65,8376000
2026-02-01,25333.75,26341.20,24571.75,25178.65,25178.65,8175600
2026-03-01,24659.25,24989.35,22283.85,22331.40,22331.40,9955700
2026-04-01,22899.00,24601.70,22182.55,23997.55,23997.55,9668500
2026-05-01,24063.55,24482.10,23262.55,23547.75,23547.75,8409800
2026-06-01,23654.50,23733.70,23070.15,23214.95,23214.95,3320700
