Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,71.2758,72.5000,70.6065,71.6400,71.6400,-
2020-02-01,71.4965,72.8150,71.0640,72.1500,72.1500,-
2020-03-01,72.1500,77.7550,71.9525,75.4000,75.4000,-
2020-04-01,76.1100,77.6850,74.8050,75.2585,75.2585,-
2020-05-01,75.7200,76.5500,75.0395,75.5132,75.5132,-
2020-06-01,75.5132,76.6550,74.9144,75.7000,75.7000,-
2020-07-01,75.5570,75.7500,74.4303,74.9900,74.9900,-
2020-08-01,74.8769,75.3650,73.0345,73.1283,73.1283,-
2020-09-01,73.6700,74.2220,72.7185,73.8450,73.8450,-
2020-10-01,73.7050,74.7020,72.9340,74.2640,74.2640,-
2020-11-01,74.2640,75.0010,73.6431,73.9409,73.9409,-
2020-12-01,74.0252,74.2700,72.9466,73.1340,73.1340,-
2021-01-01,73.0892,73.7790,72.7675,72.9066,72.9066,-
2021-02-01,72.9066,74.1787,72.2680,73.5959,73.5959,-
2021-03-01,73.5959,74.1250,72.2660,73.4453,73.4453,-
2021-04-01,73.2035,75.7248,73.1050,74.1058,74.1058,-
2021-05-01,74.0880,74.9940,72.3358,72.3935,72.3935,-
2021-06-01,72.4872,74.5448,72.4580,74.2876,74.2876,-
2021-07-01,74.3711,75.2050,74.1544,74.2520,74.2520,-
2021-08-01,74.2450,74.6500,72.9048,73.4112,73.4112,-
2021-09-01,72.9971,74.5644,72.9160,74.3220,74.3220,-
2021-10-01,74.2544,75.7000,74.0546,74.7972,74.7972,-
2021-11-01,74.9284,75.2065,73.8303,75.0549,75.0549,-
2021-12-01,75.0562,76.4823,74.0900,74.4312,74.4312,-
2022-01-01,74.4323,75.3670,73.6975,75.0390,75.0390,-
2022-02-01,74.5557,75.9010,74.3530,75.0680,75.0680,-
2022-03-01,75.2848,77.3735,75.2122,75.8278,75.8278,-
2022-04-01,75.9092,77.0380,75.2575,76.5890,76.5890,-
2022-05-01,76.5890,78.0950,75.9940,77.5209,77.5209,-
2022-06-01,77.5990,79.1080,77.3862,78.8983,78.8983,-
2022-07-01,78.9630,80.2710,78.4730,79.5715,79.5715,-
2022-08-01,79.1948,80.1608,77.7743,79.6823,79.6823,-
2022-09-01,79.5488,82.1130,79.0230,81.4806,81.4806,-
2022-10-01,81.4806,83.3860,81.0998,82.2392,82.2392,-
2022-11-01,82.7290,83.0708,80.3731,81.6309,81.6309,-
2022-12-01,81.3053,83.0359,80.9930,82.7395,82.7395,-
2023-01-01,82.7395,83.0310,80.8785,81.5799,81.5799,-
2023-02-01,81.7684,83.0803,81.6330,82.6520,82.6520,-
2023-03-01,82.6354,83.0125,81.6190,82.1005,82.1005,-
2023-04-01,82.1005,82.4855,81.4715,81.7454,81.7454,-
2023-05-01,81.7448,82.9494,81.6170,82.6839,82.6839,-
2023-06-01,82.6668,82.7120,81.8513,82.0754,82.0754,-
2023-07-01,82.0754,82.8238,81.2669,82.2528,82.2528,-
2023-08-01,82.2333,84.9293,82.2220,82.7004,82.7004,-
2023-09-01,82.6824,83.4022,82.5424,83.1930,83.1930,-
2023-10-01,83.1753,84.6970,81.2050,83.2965,83.2965,-
2023-11-01,83.2772,83.5258,82.9090,83.3303,83.3303,-
2023-12-01,83.3527,83.4602,81.0260,82.3020,82.3020,-
2024-01-01,83.2486,83.3603,81.5137,83.1097,83.1097,-
2024-02-01,83.0536,83.1239,82.8130,82.9119,82.9119,-
2024-03-01,82.9104,83.7157,82.6590,83.3930,83.3930,-
2024-04-01,83.3648,83.7396,83.1550,83.4511,83.4511,-
2024-05-01,83.4984,83.6088,83.0192,83.3209,83.3209,-
2024-06-01,83.3209,85.1860,82.9801,83.4509,83.4509,-
2024-07-01,83.3675,83.8588,83.3568,83.7390,83.7390,-
2024-08-01,83.7178,84.1703,83.4093,83.8951,83.8951,-
2024-09-01,83.8951,84.1946,83.4401,83.7164,83.7164,-
2024-10-01,83.8273,84.1865,83.7604,84.0891,84.0891,-
2024-11-01,84.0915,84.6398,84.0083,84.5619,84.5619,-
2024-12-01,84.5570,85.8178,77.5017,85.7866,85.7866,-
2025-01-01,85.7857,86.8553,84.9396,86.6470,86.6470,-
2025-02-01,86.5808,88.0713,86.2887,87.3270,87.3270,-
2025-03-01,87.4711,87.4711,85.2654,85.5388,85.5388,-
2025-04-01,85.4681,86.7430,83.2361,85.1708,85.1708,-
2025-05-01,84.5312,86.0998,72.9671,85.5156,85.5156,-
2025-06-01,85.5156,87.0294,85.2420,85.4553,85.4553,-
2025-07-01,85.7140,87.7859,84.5595,87.7146,87.7146,-
2025-08-01,87.4894,88.2894,86.9091,88.1670,88.1670,-
2025-09-01,88.1743,88.9313,87.7158,88.7045,88.7045,-
2025-10-01,88.8407,88.9215,87.4996,88.6345,88.6345,-
2025-11-01,88.7854,89.7258,88.3065,89.3437,89.3437,-
2025-12-01,89.3573,91.0730,89.2119,89.7694,89.7694,-
2026-01-01,89.9619,92.3275,89.7290,91.6823,91.6823,-
2026-02-01,91.6823,92.0195,90.0278,91.0074,91.0074,-
2026-03-01,91.0796,95.1454,89.0649,94.3559,94.3559,-
2026-04-01,93.4843,95.3940,91.9660,94.9166,94.9166,-
2026-05-01,94.7591,97.0541,85.8629,95.0030,95.0030,-
2026-06-01,95.0030,96.1708,94.5730,95.3603,95.3603,-
